Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
99,4,0.060712036550045013,0.579,0.635,0.04702692207083257
100,4,0.060712036550045013,0.579,0.635,0.24586055704327744
101,4,0.060712036550045013,0.579,0.635,0.12712286891996405
102,4,0.060712036550045013,0.579,0.635,0.28398541807821587
103,4,0.060712036550045013,0.579,0.635,0.1612236449250958
104,4,0.060712036550045013,0.579,0.635,0.25941956150873224
105,4,0.060712036550045013,0.579,0.635,0.1740398045914859
106,4,0.060712036550045013,0.579,0.635,0.14513259798041903
107,4,0.060712036550045013,0.579,0.635,0.12295751162831735
108,4,0.060712036550045013,0.579,0.635,0.16186596567116127
109,4,0.060712036550045013,0.579,0.635,0.28998145898992245
110,4,0.060712036550045013,0.579,0.635,0.23100633557347927
111,4,0.060712036550045013,0.579,0.635,0.27211665700958204
112,4,0.060712036550045013,0.579,0.635,0.0690528013375852
113,4,0.060712036550045013,0.579,0.635,0.12144022682745427
114,4,0.060712036550045013,0.579,0.635,0.0660171110234688
115,4,0.060712036550045013,0.579,0.635,0.08601816970197525
116,4,0.060712036550045013,0.579,0.635,0.0804705097094954
117,4,0.060712036550045013,0.579,0.635,0.4534742887789348
118,4,0.060712036550045013,0.579,0.635,0.25793470946474023
119,4,0.060712036550045013,0.579,0.635,0.22340619224022032
120,4,0.060712036550045013,0.579,0.635,0.1274351558065352
121,4,0.060712036550045013,0.579,0.635,0.04264723426679395
122,4,0.060712036550045013,0.579,0.635,0.17074775339825635
123,4,0.060712036550045013,0.579,0.635,0.08806294043162152
124,4,0.060712036550045013,0.579,0.635,0.049810727964357863
125,4,0.060712036550045013,0.579,0.635,0.24744836788792948
126,4,0.060712036550045013,0.579,0.635,0.17112207201512106
127,4,0.060712036550045013,0.579,0.635,0.09207084069194574
128,5,0.054563118875026705,0.626,0.675,0.03885031855055471
129,5,0.054563118875026705,0.626,0.675,0.04002418535358866
130,5,0.054563118875026705,0.626,0.675,0.23258027245120266
131,5,0.054563118875026705,0.626,0.675,0.2038648114196335
132,5,0.054563118875026705,0.626,0.675,0.4312896631474879
133,5,0.054563118875026705,0.626,0.675,0.04757153647314225
134,5,0.054563118875026705,0.626,0.675,0.037611190837484786
135,5,0.054563118875026705,0.626,0.675,0.25973159885510544
136,5,0.054563118875026705,0.626,0.675,0.3025720024898304
137,5,0.054563118875026705,0.626,0.675,0.39167189086920784
138,5,0.054563118875026705,0.626,0.675,0.06288513209118494
139,5,0.054563118875026705,0.626,0.675,0.16125222446265103
140,5,0.054563118875026705,0.626,0.675,0.07247285333291067
141,5,0.054563118875026705,0.626,0.675,0.10747476704908966
142,5,0.054563118875026705,0.626,0.675,0.0814830017005749
143,5,0.054563118875026705,0.626,0.675,0.04827401642916318
144,5,0.054563118875026705,0.626,0.675,0.08534766999091996
